8565274708|OD|Voda
9179275411|KTK|BSNL
8936713543|AP|Jio
9363463195|DL|Voda
8598056492|WB|Airtel
9471666792|BR|BSNL
6005073002|NE|Jio
8507095250|HR|BSNL
7620022477|AP|Jio
9391872420|RJ|BSNL
8255219558|KTK|Jio
7136198132|RJ|Airtel
8838960023|HR|BSNL
9477253609|KR|Airtel
8464863280|OD|BSNL
8373960495|WB|BSNL
9640539666|OD|Airtel
9768836509|HR|Airtel
9170609175|DL|Jio
7710006069|HR|Jio
9269465239|TN|Voda
6875925957|NE|Airtel
8713144118|KR|Airtel
8057365665|UPE|Airtel
9060848353|RJ|Voda
9292334684|RJ|Airtel
6643189687|GJ|BSNL
9707426527|KTK|Jio
7944397343|KR|BSNL
6182068615|HP|Voda
9935255648|UPW|BSNL
7440867659|NE|Airtel
8341036519|HP|Voda
6940577643|MP|Jio
7927828999|AP|Jio
6492682762|DL|BSNL
8047053106|HP|Airtel
7077285312|DL|Airtel
9137214602|HR|BSNL
7062238911|UPW|BSNL
7917837467|NE|Voda
9268124077|WB|Voda
9674069222|PB|Jio
8080864116|UPW|BSNL
6414449275|NE|BSNL
9895243054|PB|BSNL
6651528806|MP|BSNL
7352641524|DL|BSNL
9622348346|NE|Voda
9503967206|HR|Jio
7882970556|HR|Voda
6461529624|AP|BSNL
6961427985|HP|Voda
7772520465|GJ|Airtel
6419963991|GJ|Airtel
6349862322|DL|Airtel
7278544117|BR|Voda
7892470910|KR|BSNL
7198773320|TN|Jio
9175877899|MP|BSNL
9048443502|KR|Voda
9205533714|AP|Jio
6418745995|TN|Jio
9314035497|WB|BSNL
6527417529|AP|BSNL
9908922154|WB|Voda
6089863288|MP|Voda
8360237209|HP|Voda
6302633025|AP|Jio
6765771077|KR|Voda
9617890347|KR|Jio
9528787703|WB|Voda
7466671190|HP|Jio
8132371629|NE|BSNL
8895461530|KTK|Jio
9764852162|NE|Airtel
6782561453|PB|BSNL
8074436578|RJ|Voda
8909294113|MP|BSNL
6524875266|NE|Jio
6954487484|JK|Voda
7789911116|MP|Jio
6232481875|BR|Airtel
7288918676|NE|BSNL
6925568570|AP|Jio
7948776875|GJ|Voda
8167822436|UPE|Voda
9037865547|WB|Voda
9925806852|OD|BSNL
6331748956|JK|BSNL
6310343034|UPE|Jio
9850104220|HR|Voda
8965485056|WB|Jio
7613526909|BR|Voda
7392203209|OD|BSNL
7549328674|HR|Jio
9867042026|NE|BSNL
7805809134|DL|Voda
9315072828|NE|Voda
9345578713|AP|Jio
6024468756|KTK|Airtel
7384795976|JK|Airtel
6323127181|MP|Jio
7224728552|UPE|Airtel
8509246077|NE|Voda
9996832117|NE|Voda
8384181834|BR|Airtel
9746410199|KTK|Voda
7403549788|MP|Airtel
9494911494|OD|BSNL
6288218294|NE|Voda
7413717802|BR|Jio
8758055857|WB|Jio
8461229818|AP|BSNL
7045099280|GJ|BSNL
8346318802|JK|BSNL
6522189588|KR|Jio
7289792419|JK|BSNL
6707438825|RJ|BSNL
7955722367|BR|Jio
8052533713|NE|BSNL
6207200828|WB|Airtel
9829631561|DL|Voda
6779343732|PB|Jio
9842930618|GJ|Voda
8027268979|JK|Jio
6953384564|GJ|Jio
7743092299|GJ|Voda
8185027233|MP|Voda
7524433305|RJ|Jio
7943618388|DL|BSNL
8015859432|KTK|Voda
8045640743|HP|BSNL
7805762648|GJ|Jio
6413134918|NE|Voda
7319782443|HR|Airtel
6394675849|KTK|Voda
6735332512|GJ|BSNL
7862682617|KTK|Airtel
6209861605|OD|Airtel
8520618288|TN|Voda
7605996509|WB|Airtel
7937838485|BR|Jio
6886747187|AP|Jio
8582730674|HR|Voda
8571765528|BR|Voda
8803024826|RJ|Airtel
9131870647|DL|Voda
7456363117|DL|Airtel
9404393711|TN|Voda
9542344499|KTK|Airtel
8778406867|KR|Jio
6140780167|HR|Voda
9778242396|RJ|Jio
9833170265|UPW|Jio
9659010445|HP|BSNL
7529604195|TN|BSNL
6239222016|PB|Airtel
7769748779|PB|Airtel
6032964693|DL|BSNL
8582652282|AP|Airtel
6317663991|BR|BSNL
9168712554|DL|BSNL
9502221358|PB|Airtel
7008006922|UPW|Airtel
7251300340|HR|Jio
7063399256|DL|Jio
7728156061|BR|Jio
6742853672|TN|BSNL
8045439291|BR|Voda
8775554523|AP|BSNL
7965459530|JK|Airtel
7448300008|UPE|BSNL
7031605458|PB|Voda
9189251455|JK|Voda
6430511861|MP|Airtel
7397317043|BR|Voda
7622296442|KR|Voda
7044921001|MP|BSNL
6186958402|PB|Airtel
9450657979|DL|Voda
7400844095|KR|Airtel
7316855734|GJ|BSNL
6114582518|TN|BSNL
8211570555|TN|Voda
6971447858|KTK|Voda
8510098990|MP|Voda
7664361133|DL|Jio
7642445402|JK|Airtel
7701543383|KR|BSNL
8899979872|KTK|Jio
7555394530|OD|BSNL
7187218786|GJ|BSNL
7567877735|DL|Voda
9731884047|OD|Voda
9063184164|NE|Jio
8680435715|PB|Airtel
9618930372|RJ|Airtel
8576087983|UPW|Airtel
9505730220|OD|Voda
7356756885|UPE|Jio
8328927104|WB|Airtel
7322720500|DL|Voda
6813304187|UPE|Voda
8296017285|WB|Airtel
7439684004|DL|Airtel
6409908542|TN|BSNL
6266888858|AP|Jio
8499816350|UPE|Jio
7074007811|MP|Voda
8131960715|AP|Airtel
